temperature,current,voltage,esp_status,label
28.31,0.939,3.887,CONNECTED,NORMAL
25.71,0.594,3.98,CONNECTED,NORMAL
27.88,1.286,3.302,CONNECTED,CRITICAL
17.31,0.871,3.941,CONNECTED,NORMAL
23.89,1.323,3.555,CONNECTED,CRITICAL
9.73,1.055,3.251,CONNECTED,CRITICAL
30.14,1.132,3.806,DISCONNECTED,WARNING
14.05,1.471,3.914,CONNECTED,CRITICAL
28.47,0.695,3.573,CONNECTED,WARNING
3.49,0.654,3.746,CONNECTED,NORMAL
27.32,1.468,3.461,CONNECTED,CRITICAL
14.6,0.97,3.352,CONNECTED,CRITICAL
6.42,0.976,3.382,CONNECTED,CRITICAL
24.77,0.937,3.866,CONNECTED,NORMAL
25.81,0.812,3.866,CONNECTED,NORMAL
29.36,0.887,3.431,DISCONNECTED,CRITICAL
25.2,0.64,3.36,CONNECTED,CRITICAL
2.25,1.287,3.732,CONNECTED,CRITICAL
25.98,1.281,3.567,CONNECTED,CRITICAL
21.34,0.64,3.292,CONNECTED,CRITICAL
24.73,0.971,3.652,CONNECTED,WARNING
28.01,1.135,3.643,CONNECTED,WARNING
21.01,0.804,3.225,CONNECTED,CRITICAL
16.85,0.715,3.527,CONNECTED,WARNING
31.02,0.734,3.247,DISCONNECTED,CRITICAL
11.57,0.794,3.73,CONNECTED,NORMAL
20.94,1.284,3.731,CONNECTED,CRITICAL
15.82,1.314,3.334,CONNECTED,CRITICAL
2.77,0.59,3.778,CONNECTED,NORMAL
17.7,0.661,3.601,CONNECTED,WARNING
7.18,1.196,3.557,CONNECTED,WARNING
14.95,0.802,3.704,CONNECTED,NORMAL
14.3,0.588,3.294,CONNECTED,CRITICAL
34.7,1.409,3.76,DISCONNECTED,CRITICAL
11.04,1.469,3.823,CONNECTED,CRITICAL
26.37,0.949,3.418,CONNECTED,CRITICAL
5.28,1.403,3.565,CONNECTED,CRITICAL
8.88,0.806,3.663,CONNECTED,WARNING
8.01,1.357,3.807,CONNECTED,CRITICAL
26.46,0.932,3.702,CONNECTED,NORMAL
21.86,1.15,3.268,CONNECTED,CRITICAL
16.14,0.542,3.595,CONNECTED,WARNING
13.22,0.645,3.283,CONNECTED,CRITICAL
21.98,0.671,3.94,CONNECTED,NORMAL
21.76,0.847,3.673,CONNECTED,WARNING
2.78,1.459,3.586,CONNECTED,CRITICAL
28.61,0.583,3.589,CONNECTED,WARNING
18.68,1.438,3.657,CONNECTED,CRITICAL
18.1,0.767,3.465,CONNECTED,CRITICAL
19.7,0.939,3.217,CONNECTED,CRITICAL
30.09,1.396,3.312,DISCONNECTED,CRITICAL
20.84,0.609,3.738,CONNECTED,NORMAL
11.56,1.159,3.782,CONNECTED,WARNING
28.13,0.608,3.933,CONNECTED,NORMAL
9.83,0.537,3.644,CONNECTED,WARNING
14.61,1.33,3.847,CONNECTED,CRITICAL
12.78,1.453,3.433,CONNECTED,CRITICAL
19.51,0.756,3.949,CONNECTED,NORMAL
7.6,0.545,3.548,CONNECTED,WARNING
35.74,1.392,3.799,DISCONNECTED,CRITICAL
32.29,1.393,3.615,DISCONNECTED,CRITICAL
12.74,1.272,3.729,CONNECTED,CRITICAL
14.7,0.594,3.797,CONNECTED,NORMAL
10.92,1.437,3.393,CONNECTED,CRITICAL
6.17,1.331,3.323,CONNECTED,CRITICAL
8.1,1.099,3.9,CONNECTED,WARNING
8.68,0.81,3.822,CONNECTED,NORMAL
